Feature,Importance,Importance_Pct,Cumulative_Importance
rainfall_anomaly_pct,0.6828523776009562,68.28523776009561,68.28523776009561
crop_failure_rate_pct,0.14670654414605006,14.670654414605005,82.95589217470062
drought_severity,0.1460497470499311,14.60497470499311,97.56086687969373
crop_production_1000t,0.014663275151948825,1.4663275151948825,99.02719439488861
temp_anomaly_deg,0.0033937691144463626,0.3393769114446363,99.36657130633324
heatwave_days,0.0017461647877215014,0.17461647877215014,99.5411877851054
gdp_estimate_crores,0.0017047243114663474,0.17047243114663474,99.71166021625203
unemployment_rate_pct,0.0014988229695274422,0.14988229695274422,99.86154251320477
avg_temperature,0.00028259843910515735,0.028259843910515735,99.88980235711529
total_rainfall_mm,0.0002369032528870672,0.02369032528870672,99.913492682404
irrigation_coverage_pct,0.00017420973611503024,0.017420973611503025,99.9309136560155
per_capita_income_inr,0.00015613943568032807,0.015613943568032806,99.94652759958353
inflation_rate_pct,0.00014302231454894538,0.014302231454894537,99.96082983103842
land_under_cultivation_1000ha,0.00014117071391236665,0.014117071391236665,99.97494690242966
fertilizer_consumption_kg_per_ha,0.00013855320254263024,0.013855320254263023,99.98880222268393
poverty_rate_pct,0.00011197777316073272,0.011197777316073272,100.0
